學校代碼,學校名稱,專任教師數男,專任教師數女,兼任教師數男,兼任教師數女,職員數男,職員數女,班級數,學生數男,學生數女,上學年畢業生數男,上學年畢業生數女
014356,市立清水高中,92,176,22,25,3,16,34,624,641,185,194
014357,市立三民高中,65,151,36,49,4,15,35,616,652,176,191
014362,市立錦和高中,55,139,15,16,4,12,28,501,493,142,139
014363,市立光復高中,38,82,4,7,1,11,10,179,197,0,0
014364,市立竹圍高中,36,55,0,0,1,9,12,259,206,0,0
014381,市立北大高級中學,9,10,0,0,1,6,6,99,121,0,0
020301,國立蘭陽女中,36,62,0,0,1,16,42,0,1618,0,543
020302,國立宜蘭高中,66,43,2,3,7,15,45,1559,178,511,60
020308,國立羅東高中,42,58,0,0,4,14,42,805,877,280,290
021301,私立慧燈高中,56,49,3,4,14,18,20,539,294,170,86
021310,私立中道高中,25,21,0,0,14,25,12,302,128,95,62
024322,縣立南澳高中,15,22,0,0,2,7,13,176,132,45,43
030302,國立龍潭高中,62,54,34,11,12,18,51,1131,560,330,202
030304,國立桃園高中,67,89,2,5,4,22,66,1333,1324,505,438
030305,國立中央大學附屬中壢高中,64,79,19,40,2,22,60,1311,1182,431,428
030306,國立武陵高中,58,88,19,53,4,19,63,1469,1135,504,369
030316,國立楊梅高中,54,62,0,0,4,19,48,1058,819,349,260
030325,國立陽明高中,48,93,1,2,5,22,60,1213,1298,416,428
030327,國立內壢高中,46,89,4,8,4,19,57,1108,1244,363,428
031301,私立泉僑高中,15,10,9,8,1,4,19,258,148,107,98
031309,私立育達高中,81,149,17,22,9,20,147,2990,3643,1024,1330
031310,私立六和高中,46,80,0,0,11,17,30,876,468,284,186
031311,私立復旦高中,53,98,7,4,7,16,36,837,845,247,322
031312,私立治平高中,118,114,69,49,10,38,141,3318,2822,1046,999
031313,私立振聲高中,82,98,18,16,6,23,79,1634,2011,582,676
031317,私立光啟高中,46,49,37,19,14,20,61,1762,626,585,250
031318,私立啟英高中,92,107,31,7,7,24,150,3886,3456,1178,1066
031319,私立清華高中,36,28,13,6,9,18,47,788,410,294,168
031320,私立新興高中,121,168,32,40,5,32,161,4237,3092,1340,1154
031323,私立至善高中,22,28,0,0,6,19,30,567,351,214,160
